request_id,provider_id,app_type,model,request_model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,input_cost_usd,output_cost_usd,cache_read_cost_usd,cache_creation_cost_usd,total_cost_usd,latency_ms,first_token_ms,duration_ms,status_code,error_message,session_id,provider_type,is_streaming,cost_multiplier,created_at,data_source,pricing_model,input_token_semantics
session:msg_202609060320541f10d16a79324ddf,_session,claude,glm-5.3-flash,glm-5.3-flash,244,44,89088,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788636056,session_log,,0
session:msg_2026090603212879b1be7a6215493d,_session,claude,glm-5.3-flash,glm-5.3-flash,268,51,89280,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788636091,session_log,,0
session:msg_20260906032131ef9da27a82d045db,_session,claude,glm-5.3-flash,glm-5.3-flash,3437,568,89536,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788636098,session_log,,0
session:msg_20260906032219ad6b78a4feed4caf,_session,claude,glm-5.3-flash,glm-5.3-flash,1298,359,92928,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788636145,session_log,,0
session:msg_20260906032241c925c9f8a4c94fb2,_session,claude,glm-5.3-flash,glm-5.3-flash,886,863,94208,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788636164,session_log,,0
session:msg_202609061020401efdafa115c44d51,_session,claude,glm-5.3-flash,glm-5.3-flash,95947,3166,64,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788661248,session_log,,0
session:msg_20260906102125b1ab64e3dd3e4d64,_session,claude,glm-5.3-flash,glm-5.3-flash,3229,238,96000,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788661292,session_log,,0
session:msg_20260906103254c8179abab140447f,_session,claude,glm-5.3-flash,glm-5.3-flash,295,2943,99200,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788662019,session_log,,0
session:msg_20260906103350822a7f1d741649cb,_session,claude,glm-5.3-flash,glm-5.3-flash,3616,1058,99456,0,0,0,0,0,0,0,,,200,,2dac401e-8263-4142-9343-e81dd3c5d6a4,session_log,1,1.0,1788662045,session_log,,0
session:msg_20260906105848855bc695abb84c34,_session,claude,glm-5.3,glm-5.3,18475,97,3776,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663533,session_log,,0
session:msg_20260906105853b2e2d70b37f64f98,_session,claude,glm-5.3,glm-5.3,302,28,22208,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663539,session_log,,0
session:msg_20260906105859e25a75979a354492,_session,claude,glm-5.3,glm-5.3,2973,13211,22464,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663753,session_log,,0
session:msg_202609061103014f705b575c29432d,_session,claude,glm-5.3,glm-5.3,14351,372,25408,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788663787,session_log,,0
