session_id,ts_ms,input,output,cache_read,cache_write,reasoning,total,model_calls,cost_usd_ticks,models
01a072c5-28a6-7222-bd80-f4a6466b2eb7,1788631932,10205,437,192,0,413,10642,1,227056000,"{""grok-4.5"": {""inputTokens"": 10205, ""outputTokens"": 437, ""totalTokens"": 10642, ""cachedReadTokens"": 192, ""cacheCreationTokens"": 0, ""reasoningTokens"": 413, ""modelCalls"": 1, ""apiDurationMs"": 11610, ""costUsdTicks"": 227056000}}"
01a072c5-28a6-7222-bd80-f4a6466b2eb7,1788632018,10248,631,10176,0,563,10879,1,69828000,"{""grok-4.5"": {""inputTokens"": 10248, ""outputTokens"": 631, ""totalTokens"": 10879, ""cachedReadTokens"": 10176, ""cacheCreationTokens"": 0, ""reasoningTokens"": 563, ""modelCalls"": 1, ""apiDurationMs"": 18960, ""costUsdTicks"": 69828000}}"
01a072cd-d7ee-77b1-a35a-aa566f527020,1788633914,675568,49637,523264,0,26817,725205,14,1468905400,"{""grok-4.6-build"": {""inputTokens"": 675568, ""outputTokens"": 49637, ""totalTokens"": 725205, ""cachedReadTokens"": 523264, ""cacheCreationTokens"": 0, ""reasoningTokens"": 26817, ""modelCalls"": 14, ""apiDurationMs"": 1209865, ""costUsdTicks"": 1468905400}}"
01a072cd-d7ee-77b1-a35a-aa566f527020,1788634450,920517,9177,895616,0,3721,929694,10,939542400,"{""grok-4.6-build"": {""inputTokens"": 920517, ""outputTokens"": 9177, ""totalTokens"": 929694, ""cachedReadTokens"": 895616, ""cacheCreationTokens"": 0, ""reasoningTokens"": 3721, ""modelCalls"": 10, ""apiDurationMs"": 219443, ""costUsdTicks"": 939542400}}"
